source,data_type,tree_type,model,tree,backend,run,walltime,cputime,log_likelihood,tree_length,opt_time
baseline,AA,unrooted,LG,tree_1,OPENACC,4,31.015,30.664,-88901422.374,19.949,28.132
baseline,AA,unrooted,LG,tree_1,VANILA,8,291.329,284.498,-88901422.374,19.949,288.311
baseline,AA,unrooted,LG,tree_1,VANILA,6,284.223,277.14,-88901422.374,19.949,281.315
baseline,AA,unrooted,LG,tree_1,OMP_48,1,14.57,583.705,-88901422.374,19.949,13.352
baseline,AA,unrooted,LG,tree_1,OPENACC,5,31.979,31.542,-88901422.374,19.949,28.886
baseline,AA,unrooted,LG,tree_1,OMP_10,3,38.37,365.734,-88901422.374,19.949,37.111
baseline,AA,unrooted,LG,tree_1,OMP_48,6,20.414,663.648,-88901422.374,19.949,18.994
baseline,AA,unrooted,LG,tree_1,OMP_10,4,39.417,376.06,-88901422.374,19.949,38.114
baseline,AA,unrooted,LG,tree_1,VANILA,5,286.372,279.244,-88901422.374,19.949,283.427
baseline,AA,unrooted,LG,tree_1,OPENACC,7,30.761,30.408,-88901422.374,19.949,27.893
baseline,AA,unrooted,LG,tree_1,OPENACC,9,30.743,30.251,-88901422.374,19.949,27.771
baseline,AA,unrooted,LG,tree_1,OMP_48,9,15.165,591.63,-88901422.374,19.949,13.942
baseline,AA,unrooted,LG,tree_1,OPENACC,6,31.644,31.267,-88901422.374,19.949,28.671
baseline,AA,unrooted,LG,tree_1,OPENACC,8,30.432,30.084,-88901422.374,19.949,27.643
baseline,AA,unrooted,LG,tree_1,OMP_10,10,38.403,365.935,-88901422.374,19.949,37.144
baseline,AA,unrooted,LG,tree_1,OMP_10,2,67.275,428.673,-88901422.374,19.949,65.192
baseline,AA,unrooted,LG,tree_1,VANILA,3,281.718,274.894,-88901422.374,19.949,278.752
baseline,AA,unrooted,LG,tree_1,OPENACC,1,30.905,30.57,-88901422.374,19.949,28.019
baseline,AA,unrooted,LG,tree_1,OPENACC,10,30.827,30.457,-88901422.374,19.949,27.935
baseline,AA,unrooted,LG,tree_1,OMP_48,8,14.853,603.176,-88901422.374,19.949,13.492
baseline,AA,unrooted,LG,tree_1,OPENACC,3,31.215,30.846,-88901422.374,19.949,28.33
baseline,AA,unrooted,LG,tree_1,OPENACC,2,30.629,30.247,-88901422.374,19.949,27.767
baseline,AA,unrooted,LG,tree_1,OMP_10,5,38.656,350.381,-88901422.374,19.949,37.327
baseline,AA,unrooted,LG,tree_1,OMP_48,7,15.413,626.363,-88901422.374,19.949,13.978
baseline,AA,unrooted,LG,tree_1,OMP_48,10,14.285,588.005,-88901422.374,19.949,12.916
baseline,AA,unrooted,LG,tree_1,OPENACC,3,30.746,30.382,-88901422.374,19.949,27.876
baseline,AA,unrooted,LG,tree_1,VANILA,1,276.523,269.771,-88901422.374,19.949,273.691
baseline,AA,unrooted,LG,tree_1,OMP_10,6,37.493,345.833,-88901422.374,19.949,36.24
baseline,AA,unrooted,LG,tree_1,OPENACC,2,32.29,31.866,-88901422.374,19.949,29.171
baseline,AA,unrooted,LG,tree_1,OMP_48,4,16.217,577.638,-88901422.374,19.949,13.184
baseline,AA,unrooted,LG,tree_1,OMP_10,9,38.319,365.443,-88901422.374,19.949,37.09
baseline,AA,unrooted,LG,tree_1,OMP_10,1,38.61,368.619,-88901422.374,19.949,37.367
baseline,AA,unrooted,LG,tree_1,OMP_48,3,14.121,578.844,-88901422.374,19.949,12.678
baseline,AA,unrooted,LG,tree_1,VANILA,2,284.46,277.61,-88901422.374,19.949,281.471
baseline,AA,unrooted,LG,tree_1,OPENACC,1,30.909,30.529,-88901422.374,19.949,27.989
baseline,AA,unrooted,LG,tree_1,OMP_10,8,36.304,333.871,-88901422.374,19.949,35.054
baseline,AA,unrooted,LG,tree_1,OMP_48,5,18.564,630.743,-88901422.374,19.949,17.183
baseline,AA,unrooted,LG,tree_1,OPENACC,9,30.551,30.206,-88901422.374,19.949,27.744
baseline,AA,unrooted,LG,tree_1,OPENACC,7,30.818,30.444,-88901422.374,19.949,27.939
baseline,AA,unrooted,LG,tree_1,OMP_10,7,38.356,365.322,-88901422.374,19.949,37.115
baseline,AA,unrooted,LG,tree_1,VANILA,4,285.185,278.647,-88901422.374,19.949,282.157
baseline,AA,unrooted,LG,tree_1,VANILA,10,282.798,276.389,-88901422.374,19.949,279.944
baseline,AA,unrooted,LG,tree_1,OPENACC,8,31.903,31.487,-88901422.374,19.949,28.866
baseline,AA,unrooted,LG,tree_1,OPENACC,6,32.119,31.721,-88901422.374,19.949,29.048
baseline,AA,unrooted,LG,tree_1,OPENACC,4,31.099,30.681,-88901422.374,19.949,28.21
baseline,AA,unrooted,LG,tree_1,OPENACC,5,31.616,31.254,-88901422.374,19.949,28.649
baseline,AA,unrooted,LG,tree_1,VANILA,7,281.219,274.13,-88901422.374,19.949,278.094
baseline,AA,unrooted,LG,tree_1,VANILA,9,291.16,284.376,-88901422.374,19.949,288.233
baseline,AA,unrooted,LG,tree_1,OMP_48,2,13.975,581.843,-88901422.374,19.949,12.619
baseline,AA,unrooted,LG,tree_1,OPENACC,10,30.313,29.965,-88901422.374,19.949,27.523
baseline,AA,unrooted,LG,tree_10,OMP_48,8,14.911,607.887,-86714228.485,19.208,13.499
baseline,AA,unrooted,LG,tree_10,OMP_48,10,14.778,604.025,-86714228.485,19.208,13.338
baseline,AA,unrooted,LG,tree_10,OMP_48,2,14.853,607.484,-86714228.485,19.208,13.44
baseline,AA,unrooted,LG,tree_10,OMP_48,4,14.192,578.773,-86714228.485,19.208,12.709
baseline,AA,unrooted,LG,tree_10,OMP_10,2,39.915,359.601,-86714228.485,19.208,38.185
baseline,AA,unrooted,LG,tree_10,OMP_10,4,39.82,379.504,-86714228.485,19.208,38.545
baseline,AA,unrooted,LG,tree_10,OMP_10,8,37.073,337.883,-86714228.485,19.208,35.756
baseline,AA,unrooted,LG,tree_10,OMP_48,9,15.206,617.397,-86714228.485,19.208,13.741
baseline,AA,unrooted,LG,tree_10,OMP_48,5,17.178,623.24,-86714228.485,19.208,14.579
baseline,AA,unrooted,LG,tree_10,OMP_48,3,17.8,622.39,-86714228.485,19.208,16.456
baseline,AA,unrooted,LG,tree_10,OMP_10,5,35.728,327.96,-86714228.485,19.208,34.515
baseline,AA,unrooted,LG,tree_10,OMP_10,3,38.058,363.066,-86714228.485,19.208,36.838
baseline,AA,unrooted,LG,tree_10,OMP_10,9,38.355,364.685,-86714228.485,19.208,37.102
baseline,AA,unrooted,LG,tree_10,OMP_48,6,19.722,673.613,-86714228.485,19.208,18.343
baseline,AA,unrooted,LG,tree_10,OMP_10,10,38.422,365.875,-86714228.485,19.208,37.18
baseline,AA,unrooted,LG,tree_10,OMP_10,6,60.973,401.914,-86714228.485,19.208,59.613
baseline,AA,unrooted,LG,tree_10,OMP_48,7,19.436,647.328,-86714228.485,19.208,18.06
baseline,AA,unrooted,LG,tree_10,OMP_48,1,18.123,637.409,-86714228.485,19.208,16.807
baseline,AA,unrooted,LG,tree_10,OMP_10,7,38.159,364.041,-86714228.485,19.208,36.912
baseline,AA,unrooted,LG,tree_10,OMP_10,1,38.309,365.436,-86714228.485,19.208,37.065
baseline,AA,unrooted,LG,tree_2,OPENACC,1,24.07,23.695,-90504713.177,20.312,21.205
baseline,AA,unrooted,LG,tree_2,OMP_10,4,30.583,288.504,-90504713.177,20.312,29.308
baseline,AA,unrooted,LG,tree_2,VANILA,2,219.924,213.314,-90504713.177,20.312,217.055
baseline,AA,unrooted,LG,tree_2,OMP_48,9,11.555,459.643,-90504713.177,20.312,10.044
baseline,AA,unrooted,LG,tree_2,OMP_48,6,11.418,445.763,-90504713.177,20.312,10.183
baseline,AA,unrooted,LG,tree_2,OMP_10,3,29.796,281.026,-90504713.177,20.312,28.539
baseline,AA,unrooted,LG,tree_2,OPENACC,2,24.798,24.413,-90504713.177,20.312,21.77
baseline,AA,unrooted,LG,tree_2,OPENACC,3,23.963,23.589,-90504713.177,20.312,21.077
baseline,AA,unrooted,LG,tree_2,VANILA,1,212.665,206.366,-90504713.177,20.312,209.917
baseline,AA,unrooted,LG,tree_2,OMP_48,1,11.656,452.497,-90504713.177,20.312,10.45
baseline,AA,unrooted,LG,tree_2,OMP_48,10,13.348,468.661,-90504713.177,20.312,12.122
baseline,AA,unrooted,LG,tree_2,OPENACC,10,23.594,23.241,-90504713.177,20.312,20.83
baseline,AA,unrooted,LG,tree_2,OMP_48,7,11.589,450.793,-90504713.177,20.312,10.353
baseline,AA,unrooted,LG,tree_2,OMP_48,8,15.711,500.071,-90504713.177,20.312,14.346
baseline,AA,unrooted,LG,tree_2,OPENACC,5,24.266,23.9,-90504713.177,20.312,21.361
baseline,AA,unrooted,LG,tree_2,VANILA,9,220.888,214.38,-90504713.177,20.312,217.78
baseline,AA,unrooted,LG,tree_2,VANILA,7,214.832,208.16,-90504713.177,20.312,211.446
baseline,AA,unrooted,LG,tree_2,OMP_10,5,29.829,268.154,-90504713.177,20.312,28.544
baseline,AA,unrooted,LG,tree_2,OPENACC,4,24.174,23.823,-90504713.177,20.312,21.258
baseline,AA,unrooted,LG,tree_2,VANILA,10,216.488,210.304,-90504713.177,20.312,213.501
baseline,AA,unrooted,LG,tree_2,VANILA,4,220.683,214.555,-90504713.177,20.312,217.816
baseline,AA,unrooted,LG,tree_2,OPENACC,6,24.93,24.53,-90504713.177,20.312,21.859
baseline,AA,unrooted,LG,tree_2,OPENACC,8,24.71,24.293,-90504713.177,20.312,21.69
baseline,AA,unrooted,LG,tree_2,OPENACC,7,24.037,23.665,-90504713.177,20.312,21.152
baseline,AA,unrooted,LG,tree_2,OPENACC,9,23.831,23.481,-90504713.177,20.312,21.014
baseline,AA,unrooted,LG,tree_2,OMP_10,10,29.804,281.056,-90504713.177,20.312,28.52
baseline,AA,unrooted,LG,tree_2,OMP_10,2,50.739,330.705,-90504713.177,20.312,49.001
baseline,AA,unrooted,LG,tree_2,OPENACC,8,23.713,23.362,-90504713.177,20.312,20.92
baseline,AA,unrooted,LG,tree_2,OPENACC,6,24.832,24.428,-90504713.177,20.312,21.767
baseline,AA,unrooted,LG,tree_2,OMP_48,3,11.399,454.021,-90504713.177,20.312,9.955
baseline,AA,unrooted,LG,tree_2,VANILA,5,220.6,213.739,-90504713.177,20.312,217.421
baseline,AA,unrooted,LG,tree_2,OPENACC,9,23.836,23.405,-90504713.177,20.312,20.952
baseline,AA,unrooted,LG,tree_2,OPENACC,7,23.694,23.371,-90504713.177,20.312,20.883
baseline,AA,unrooted,LG,tree_2,OMP_10,1,29.969,282.506,-90504713.177,20.312,28.647
baseline,AA,unrooted,LG,tree_2,OMP_48,4,11.25,449.444,-90504713.177,20.312,9.848
baseline,AA,unrooted,LG,tree_2,OMP_10,9,29.898,280.909,-90504713.177,20.312,28.511
baseline,AA,unrooted,LG,tree_2,OPENACC,5,25.017,24.602,-90504713.177,20.312,21.894
baseline,AA,unrooted,LG,tree_2,OPENACC,4,23.915,23.527,-90504713.177,20.312,21.058
baseline,AA,unrooted,LG,tree_2,VANILA,6,219.261,212.464,-90504713.177,20.312,216.12
baseline,AA,unrooted,LG,tree_2,VANILA,8,224.057,217.453,-90504713.177,20.312,220.868
baseline,AA,unrooted,LG,tree_2,OMP_10,6,48.037,313.799,-90504713.177,20.312,46.667
baseline,AA,unrooted,LG,tree_2,OPENACC,2,24.038,23.659,-90504713.177,20.312,21.135
baseline,AA,unrooted,LG,tree_2,OPENACC,3,24.013,23.643,-90504713.177,20.312,21.131
baseline,AA,unrooted,LG,tree_2,OMP_48,2,12.529,481.993,-90504713.177,20.312,10.796
baseline,AA,unrooted,LG,tree_2,VANILA,3,221.36,214.678,-90504713.177,20.312,218.243
baseline,AA,unrooted,LG,tree_2,OPENACC,10,24.006,23.644,-90504713.177,20.312,21.142
baseline,AA,unrooted,LG,tree_2,OPENACC,1,23.93,23.57,-90504713.177,20.312,21.035
baseline,AA,unrooted,LG,tree_2,OMP_10,7,29.675,280.217,-90504713.177,20.312,28.462
baseline,AA,unrooted,LG,tree_2,OMP_10,8,28.444,258.444,-90504713.177,20.312,27.108
baseline,AA,unrooted,LG,tree_2,OMP_48,5,12.052,480.556,-90504713.177,20.312,10.612
baseline,AA,unrooted,LG,tree_3,OMP_10,2,66.449,426.117,-87357001.171,19.421,64.552
baseline,AA,unrooted,LG,tree_3,OMP_10,10,39.342,374.042,-87357001.171,19.421,38.068
baseline,AA,unrooted,LG,tree_3,OPENACC,8,30.275,29.926,-87357001.171,19.421,27.442
baseline,AA,unrooted,LG,tree_3,OPENACC,6,31.628,31.206,-87357001.171,19.421,28.651
baseline,AA,unrooted,LG,tree_3,OPENACC,9,30.788,30.388,-87357001.171,19.421,27.85
baseline,AA,unrooted,LG,tree_3,OPENACC,7,30.816,30.481,-87357001.171,19.421,27.921
baseline,AA,unrooted,LG,tree_3,OPENACC,5,31.822,31.394,-87357001.171,19.421,28.729
baseline,AA,unrooted,LG,tree_3,OMP_10,5,39.46,362.091,-87357001.171,19.421,38.17
baseline,AA,unrooted,LG,tree_3,OPENACC,4,30.616,30.249,-87357001.171,19.421,27.768
baseline,AA,unrooted,LG,tree_3,OMP_48,8,14.642,570.499,-87357001.171,19.421,13.33
baseline,AA,unrooted,LG,tree_3,OMP_48,7,16.641,661.068,-87357001.171,19.421,15.232
baseline,AA,unrooted,LG,tree_3,OMP_48,10,18.361,622.292,-87357001.171,19.421,17.015
baseline,AA,unrooted,LG,tree_3,OPENACC,2,30.642,30.247,-87357001.171,19.421,27.795
baseline,AA,unrooted,LG,tree_3,OMP_48,1,13.971,576.212,-87357001.171,19.421,12.577
baseline,AA,unrooted,LG,tree_3,OPENACC,3,30.724,30.356,-87357001.171,19.421,27.831
baseline,AA,unrooted,LG,tree_3,OMP_10,3,39.239,373.237,-87357001.171,19.421,37.992
baseline,AA,unrooted,LG,tree_3,OMP_48,6,13.984,569.798,-87357001.171,19.421,12.535
baseline,AA,unrooted,LG,tree_3,OMP_48,9,19.546,625.708,-87357001.171,19.421,18.067
baseline,AA,unrooted,LG,tree_3,OPENACC,1,30.675,30.309,-87357001.171,19.421,27.821
baseline,AA,unrooted,LG,tree_3,OPENACC,10,30.545,30.167,-87357001.171,19.421,27.653
baseline,AA,unrooted,LG,tree_3,OMP_10,4,40.421,383.42,-87357001.171,19.421,39.068
baseline,AA,unrooted,LG,tree_3,OMP_48,5,15.892,612.972,-87357001.171,19.421,14.433
baseline,AA,unrooted,LG,tree_3,OMP_10,8,64.886,391.759,-87357001.171,19.421,63.496
baseline,AA,unrooted,LG,tree_3,OPENACC,1,30.814,30.462,-87357001.171,19.421,27.931
baseline,AA,unrooted,LG,tree_3,OMP_10,7,39.24,373.032,-87357001.171,19.421,37.976
baseline,AA,unrooted,LG,tree_3,OPENACC,2,31.949,31.524,-87357001.171,19.421,28.906
baseline,AA,unrooted,LG,tree_3,OMP_48,2,15.419,607.151,-87357001.171,19.421,14.152
baseline,AA,unrooted,LG,tree_3,OPENACC,3,30.54,30.158,-87357001.171,19.421,27.674
baseline,AA,unrooted,LG,tree_3,OPENACC,5,31.011,30.647,-87357001.171,19.421,28.095
baseline,AA,unrooted,LG,tree_3,OMP_10,6,60.389,401.842,-87357001.171,19.421,59.039
baseline,AA,unrooted,LG,tree_3,OPENACC,4,30.687,30.332,-87357001.171,19.421,27.826
baseline,AA,unrooted,LG,tree_3,OPENACC,10,30.139,29.741,-87357001.171,19.421,27.354
baseline,AA,unrooted,LG,tree_3,OMP_10,9,39.312,373.42,-87357001.171,19.421,38.031
baseline,AA,unrooted,LG,tree_3,OMP_48,4,16.554,613.444,-87357001.171,19.421,15.324
baseline,AA,unrooted,LG,tree_3,OMP_10,1,39.664,376.66,-87357001.171,19.421,38.318
baseline,AA,unrooted,LG,tree_3,OPENACC,6,31.834,31.435,-87357001.171,19.421,28.774
baseline,AA,unrooted,LG,tree_3,OPENACC,8,31.21,30.834,-87357001.171,19.421,28.256
baseline,AA,unrooted,LG,tree_3,OPENACC,7,30.655,30.265,-87357001.171,19.421,27.778
baseline,AA,unrooted,LG,tree_3,OPENACC,9,30.214,29.894,-87357001.171,19.421,27.415
baseline,AA,unrooted,LG,tree_3,OMP_48,3,14.243,585.374,-87357001.171,19.421,12.834
baseline,AA,unrooted,LG,tree_4,OMP_10,2,66.388,432.402,-87712627.079,20.39,64.837
baseline,AA,unrooted,LG,tree_4,OPENACC,7,30.648,30.22,-87712627.079,20.39,27.729
baseline,AA,unrooted,LG,tree_4,OPENACC,9,30.599,30.249,-87712627.079,20.39,27.708
baseline,AA,unrooted,LG,tree_4,OPENACC,6,32.043,31.601,-87712627.079,20.39,28.925
baseline,AA,unrooted,LG,tree_4,OPENACC,8,31.738,31.321,-87712627.079,20.39,28.689
baseline,AA,unrooted,LG,tree_4,OMP_10,10,39.51,376.02,-87712627.079,20.39,38.262
baseline,AA,unrooted,LG,tree_4,OPENACC,4,30.966,30.592,-87712627.079,20.39,28.072
baseline,AA,unrooted,LG,tree_4,OMP_48,7,14.987,617.784,-87712627.079,20.39,13.583
baseline,AA,unrooted,LG,tree_4,OPENACC,5,30.948,30.586,-87712627.079,20.39,28.058
baseline,AA,unrooted,LG,tree_4,OMP_48,10,17.655,639.448,-87712627.079,20.39,16.388
baseline,AA,unrooted,LG,tree_4,OMP_10,5,38.017,347.313,-87712627.079,20.39,36.749
baseline,AA,unrooted,LG,tree_4,OPENACC,10,30.229,29.866,-87712627.079,20.39,27.44
baseline,AA,unrooted,LG,tree_4,OMP_48,8,15.758,615.912,-87712627.079,20.39,14.473
baseline,AA,unrooted,LG,tree_4,OPENACC,3,30.679,30.313,-87712627.079,20.39,27.801
baseline,AA,unrooted,LG,tree_4,OPENACC,2,31.98,31.522,-87712627.079,20.39,28.864
baseline,AA,unrooted,LG,tree_4,OMP_10,3,39.361,374.888,-87712627.079,20.39,38.093
baseline,AA,unrooted,LG,tree_4,OMP_48,1,14.607,601.617,-87712627.079,20.39,13.164
baseline,AA,unrooted,LG,tree_4,OMP_48,9,14.617,608.017,-87712627.079,20.39,13.101
baseline,AA,unrooted,LG,tree_4,OMP_10,4,39.984,380.102,-87712627.079,20.39,38.726
baseline,AA,unrooted,LG,tree_4,OMP_48,6,14.919,604.671,-87712627.079,20.39,13.652
baseline,AA,unrooted,LG,tree_4,OPENACC,1,30.841,30.486,-87712627.079,20.39,27.97
baseline,AA,unrooted,LG,tree_4,OMP_10,7,39.387,374.884,-87712627.079,20.39,38.135
baseline,AA,unrooted,LG,tree_4,OMP_48,5,15.737,593.664,-87712627.079,20.39,13.555
baseline,AA,unrooted,LG,tree_4,OPENACC,1,30.431,30.067,-87712627.079,20.39,27.629
baseline,AA,unrooted,LG,tree_4,OPENACC,10,30.713,30.336,-87712627.079,20.39,27.849
baseline,AA,unrooted,LG,tree_4,OMP_10,8,38.809,352.862,-87712627.079,20.39,37.528
baseline,AA,unrooted,LG,tree_4,OPENACC,3,30.787,30.416,-87712627.079,20.39,27.893
baseline,AA,unrooted,LG,tree_4,OPENACC,2,30.476,30.101,-87712627.079,20.39,27.646
baseline,AA,unrooted,LG,tree_4,OMP_48,2,14.784,606.28,-87712627.079,20.39,13.356
baseline,AA,unrooted,LG,tree_4,OPENACC,4,30.376,30.017,-87712627.079,20.39,27.568
baseline,AA,unrooted,LG,tree_4,OMP_10,9,39.558,375.639,-87712627.079,20.39,38.301
baseline,AA,unrooted,LG,tree_4,OPENACC,5,31.779,31.36,-87712627.079,20.39,28.752
baseline,AA,unrooted,LG,tree_4,OMP_48,4,15.18,636.898,-87712627.079,20.39,13.749
baseline,AA,unrooted,LG,tree_4,OMP_10,6,41.682,370.854,-87712627.079,20.39,40.373
baseline,AA,unrooted,LG,tree_4,OMP_48,3,18.698,658.699,-87712627.079,20.39,17.319
baseline,AA,unrooted,LG,tree_4,OPENACC,9,30.65,30.168,-87712627.079,20.39,27.651
baseline,AA,unrooted,LG,tree_4,OPENACC,7,30.619,30.263,-87712627.079,20.39,27.758
baseline,AA,unrooted,LG,tree_4,OMP_10,1,39.658,377.388,-87712627.079,20.39,38.352
baseline,AA,unrooted,LG,tree_4,OPENACC,8,30.559,30.21,-87712627.079,20.39,27.741
baseline,AA,unrooted,LG,tree_4,OPENACC,6,31.903,31.475,-87712627.079,20.39,28.873
baseline,AA,unrooted,LG,tree_5,OMP_48,6,17.757,624.961,-86382770.364,19.61,16.446
