data_type,model,tree,backend,logl_mean,logl_std,tree_length_mean,n
AA,LG,tree_1,GPU_P0,-88901422.374,0.0,19.949,10
AA,LG,tree_1,GPU_P5,-88901422.374,0.0,19.949,10
AA,LG,tree_1,GPU_P6_FIX,-88901422.374,0.0,19.949,10
AA,LG,tree_1,OMP_10,-88901422.374,0.0,19.949,10
AA,LG,tree_1,OMP_48,-88901422.374,0.0,19.949,10
AA,LG,tree_1,VANILA,-88901422.374,0.0,19.949,10
AA,LG,tree_10,GPU_P0,-86714228.485,0.0,19.208,7
AA,LG,tree_10,GPU_P5,-86714228.485,0.0,19.208,9
AA,LG,tree_10,GPU_P6_FIX,-86714228.485,0.0,19.208,8
AA,LG,tree_10,OMP_10,-86714228.485,0.0,19.208,10
AA,LG,tree_10,OMP_48,-86714228.485,0.0,19.208,10
AA,LG,tree_2,GPU_P0,-90504713.177,0.0,20.312,10
AA,LG,tree_2,GPU_P5,-90504713.177,0.0,20.312,10
AA,LG,tree_2,GPU_P6_FIX,-90504713.177,0.0,20.312,10
AA,LG,tree_2,OMP_10,-90504713.177,0.0,20.312,10
AA,LG,tree_2,OMP_48,-90504713.177,0.0,20.312,10
AA,LG,tree_2,VANILA,-90504713.177,0.0,20.312,10
AA,LG,tree_3,GPU_P0,-87357001.171,0.0,19.421,10
AA,LG,tree_3,GPU_P5,-87357001.171,0.0,19.421,10
AA,LG,tree_3,GPU_P6_FIX,-87357001.171,0.0,19.421,10
AA,LG,tree_3,OMP_10,-87357001.171,0.0,19.421,10
AA,LG,tree_3,OMP_48,-87357001.171,0.0,19.421,10
AA,LG,tree_4,GPU_P0,-87712627.079,0.0,20.39,10
AA,LG,tree_4,GPU_P5,-87712627.079,0.0,20.39,10
AA,LG,tree_4,GPU_P6_FIX,-87712627.079,0.0,20.39,10
AA,LG,tree_4,OMP_10,-87712627.079,0.0,20.39,10
AA,LG,tree_4,OMP_48,-87712627.079,0.0,20.39,10
AA,LG,tree_5,GPU_P0,-86382770.364,0.0,19.61,10
AA,LG,tree_5,GPU_P5,-86382770.364,0.0,19.61,10
AA,LG,tree_5,GPU_P6_FIX,-86382770.364,0.0,19.61,10
AA,LG,tree_5,OMP_10,-86382770.364,0.0,19.61,10
AA,LG,tree_5,OMP_48,-86382770.364,0.0,19.61,10
AA,LG,tree_6,GPU_P0,-84301496.968,0.0,18.591,10
AA,LG,tree_6,GPU_P5,-84301496.968,0.0,18.591,10
AA,LG,tree_6,GPU_P6_FIX,-84301496.968,0.0,18.591,10
AA,LG,tree_6,OMP_10,-84301496.968,0.0,18.591,10
AA,LG,tree_6,OMP_48,-84301496.968,0.0,18.591,10
AA,LG,tree_7,GPU_P0,-87134163.126,0.0,19.77,10
AA,LG,tree_7,GPU_P5,-87134163.126,0.0,19.77,10
AA,LG,tree_7,GPU_P6_FIX,-87134163.126,0.0,19.77,10
AA,LG,tree_7,OMP_10,-87134163.126,0.0,19.77,10
AA,LG,tree_7,OMP_48,-87134163.126,0.0,19.77,10
AA,LG,tree_8,GPU_P0,-81931521.002,0.0,18.249,10
AA,LG,tree_8,GPU_P5,-81931521.002,0.0,18.249,10
AA,LG,tree_8,GPU_P6_FIX,-81931521.002,0.0,18.249,10
AA,LG,tree_8,OMP_10,-81931521.002,0.0,18.249,10
AA,LG,tree_8,OMP_48,-81931521.002,0.0,18.249,10
AA,LG,tree_9,GPU_P0,-82340194.25,0.0,18.008,10
AA,LG,tree_9,GPU_P5,-82340194.25,0.0,18.008,10
AA,LG,tree_9,GPU_P6_FIX,-82340194.25,0.0,18.008,10
AA,LG,tree_9,OMP_10,-82340194.25,0.0,18.008,10
AA,LG,tree_9,OMP_48,-82340194.25,0.0,18.008,10
DNA,GTR,tree_1,GPU_P0,-64343405.643,0.0,18.844,10
DNA,GTR,tree_1,GPU_P5,-64343405.643,0.0,18.844,10
DNA,GTR,tree_1,GPU_P6_FIX,-64343405.643,0.0,18.844,10
DNA,GTR,tree_1,OMP_10,-64343405.643,0.0,18.844,10
DNA,GTR,tree_1,OMP_48,-64343405.643,0.0,18.844,10
DNA,GTR,tree_1,VANILA,-64343405.643,0.0,18.844,10
DNA,GTR,tree_10,OMP_10,-68972398.54,0.0,20.7,10
DNA,GTR,tree_10,OMP_48,-68972398.54,0.0,20.7,10
DNA,GTR,tree_2,GPU_P0,-66217786.827,0.0,19.418,10
DNA,GTR,tree_2,GPU_P5,-66217786.827,0.0,19.418,10
DNA,GTR,tree_2,GPU_P6_FIX,-66217786.827,0.0,19.418,10
DNA,GTR,tree_2,OMP_10,-66217786.827,0.0,19.418,10
DNA,GTR,tree_2,OMP_48,-66217786.827,0.0,19.418,10
DNA,GTR,tree_2,VANILA,-66217786.827,0.0,19.418,10
DNA,GTR,tree_3,GPU_P0,-66775543.576,0.0,19.731,10
DNA,GTR,tree_3,GPU_P5,-66775543.576,0.0,19.731,10
DNA,GTR,tree_3,GPU_P6_FIX,-66775543.576,0.0,19.731,10
DNA,GTR,tree_3,OMP_10,-66775543.576,0.0,19.731,10
DNA,GTR,tree_3,OMP_48,-66775543.576,0.0,19.731,10
DNA,GTR,tree_3,VANILA,-66775543.576,0.0,19.731,10
DNA,GTR,tree_4,GPU_P0,-68796842.673,0.0,20.6,10
DNA,GTR,tree_4,GPU_P5,-68796842.673,0.0,20.6,10
DNA,GTR,tree_4,GPU_P6_FIX,-68796842.673,0.0,20.6,10
DNA,GTR,tree_4,OMP_10,-68796842.673,0.0,20.6,10
DNA,GTR,tree_4,OMP_48,-68796842.673,0.0,20.6,10
DNA,GTR,tree_4,VANILA,-68796842.673,0.0,20.6,10
DNA,GTR,tree_5,GPU_P0,-68054876.562,0.0,20.138,10
DNA,GTR,tree_5,GPU_P5,-68054876.562,0.0,20.138,10
DNA,GTR,tree_5,GPU_P6_FIX,-68054876.562,0.0,20.138,10
DNA,GTR,tree_5,OMP_10,-68054876.562,0.0,20.138,10
DNA,GTR,tree_5,OMP_48,-68054876.562,0.0,20.138,10
DNA,GTR,tree_6,GPU_P0,-62743967.673,0.0,17.749,10
DNA,GTR,tree_6,GPU_P5,-62743967.673,0.0,17.749,10
DNA,GTR,tree_6,GPU_P6_FIX,-62743967.673,0.0,17.749,10
DNA,GTR,tree_6,OMP_10,-62743967.673,0.0,17.749,10
DNA,GTR,tree_6,OMP_48,-62743967.673,0.0,17.749,10
DNA,GTR,tree_7,GPU_P0,-67994364.745,0.0,19.714,10
DNA,GTR,tree_7,GPU_P5,-67994364.745,0.0,19.714,10
DNA,GTR,tree_7,GPU_P6_FIX,-67994364.745,0.0,19.714,10
DNA,GTR,tree_7,OMP_10,-67994364.745,0.0,19.714,10
DNA,GTR,tree_7,OMP_48,-67994364.745,0.0,19.714,10
DNA,GTR,tree_8,GPU_P0,-67533437.34,0.0,19.722,10
DNA,GTR,tree_8,GPU_P5,-67533437.34,0.0,19.722,10
DNA,GTR,tree_8,GPU_P6_FIX,-67533437.34,0.0,19.722,10
DNA,GTR,tree_8,OMP_10,-67533437.34,0.0,19.722,10
DNA,GTR,tree_8,OMP_48,-67533437.34,0.0,19.722,10
DNA,GTR,tree_9,OMP_10,-72937485.322,0.0,22.502,10
DNA,GTR,tree_9,OMP_48,-72937485.322,0.0,22.502,10
